title,sold_price,date_sold,condition,size,brand,platform
VTG 3D Emblem Harley-Davidson Shirt HI - 1991 - Follow Nobody - Black - Size XL,189.97,2026-04-14,Pre-Owned,XL,harley,ebay
Vintage 1995 Hardly Davidson Faded Tank Top L Large Sturgis Black Hills Rally,25.0,2026-04-21,Pre-Owned,L,harley,ebay
VTG 1997 Harley Davidson Shirt Mens XL American Pride Eagle Biker Gainesville FL,29.95,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Rare 1991 Harley-Davidson Fishing Biker T-Shirt Adults L Single Stitch,59.0,2026-04-21,Pre-Owned,L,harley,ebay
Harley-Davidson Vintage Y2K Looney Tunes Biker T-Shirt Unisex Size XL Augusta GA,30.0,2026-04-21,Pre-Owned,XL,harley,ebay
VTG 2005 Harley Davidson T Shirt XL USA Eagle Flames Faded Black Biker,25.0,2026-04-21,Pre-Owned,XL,harley,ebay
Harley Davidson Road Runner Tee San Benito Texas Vintage Style 2XL,20.0,2026-04-21,Pre-Owned,3XL,harley,ebay
Vintage Harley-Davidson Shirt Adult Small Black Mens Motorcycle Biker Florida,28.75,2025-09-29,Pre-Owned,S,harley,ebay
Vintage 90s Harley Davidson T-Shirt No Worries 1992 Biker Tee Single Stitch Sz L,12.87,2026-04-21,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Motorcycles Skull Flames Long Sleeve Shirt Size Large,40.0,2026-04-21,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Shirt Mens Large Black Crystal River Florida Eagle Biker,28.95,2026-04-21,Pre-Owned,L,harley,ebay
Vintage 2003 Harley-Davidson Grand Cayman Pirates Tropical Biker Tank Top USA XL,18.69,2026-04-21,Pre-Owned,XL,harley,ebay
#13 Vintage Harley Davidson (T) HOUSTON TX.. XL NEW WITH TAG T SHRIT TIME,37.5,2026-04-21,Brand New,XL,harley,ebay
"# 14 Vintage Harley Davidson T-Shirt NORTHSHORE SLIDELL,LA Size XL NEW WITH TAG",37.5,2026-04-21,Brand New,XL,harley,ebay
Harley Davidson T Shirt Mens XL Black Tribal Flames Graphic Y2K VTG 2006 Logo,17.99,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson T-Shirt Mens Size L Orange USA Made Graphic,31.12,2026-04-21,Pre-Owned,L,harley,ebay
VTG Chicago Illinois Harley Davidson Shirt Mens Black Gangster Biker XXL 90s,40.0,2026-04-21,Pre-Owned,2XL,harley,ebay
Vintage Harley Davidson Mens T-Shirt 90s Size XL Black Made in UK Short Sleeve,31.24,2026-04-21,Pre-Owned,XL,harley,ebay
Vtg Harley Davidson Hanes Beefy T-shirt Mens Large Yellow Work Sucks Made In USA,3.49,2026-04-21,Pre-Owned,L,harley,ebay
Vintage 1993 Harley Davidson Looney Tunes Taz Bugs Tee Large The Bike of choice,90.0,2026-04-21,Pre-Owned,L,harley,ebay
Harley Davidson Bahamas Spell Out Logo T Shirt Mens L Vintage,17.99,2026-04-21,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Chicago Hanes Beefy T Men's Long Sleeve Black Size XL,34.99,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Y2K Harley Davidson Feel The Heat T-shirt XL,34.99,2026-04-21,Pre-Owned,XL,harley,ebay
vintage harley davidson t shirt xl,35.0,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Henley Tee 2001 XL,30.0,2026-04-21,Pre-Owned,XL,harley,ebay
Rare Vintage 1980 Single Stitch Harley Davidson Shirt W/Puff Print Screen Star,85.99,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Pig Sex Animal Biker Motorcycle T-Shirt L 90s,69.99,2026-04-21,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Connecticut Long Tall 2XL T-shirt,19.99,2026-04-21,Pre-Owned,2XL,harley,ebay
80's Vintage 3D Emblem Harley Davidson Righteous Ruler Eagle Shirt Men's Small,200.0,2026-04-21,Pre-Owned,S,harley,ebay
Vtg Harley Davidson Proud Riders Shirt 3XL Whitt’s Manassas VA Single Stitch USA,19.99,2026-04-21,Pre-Owned,3XL,harley,ebay
Vtg Harley-Davidson Y2K XL Black T Shirt Earl Small’s Marietta Atlanta Georgia,32.0,2026-04-21,Pre-Owned,XL,harley,ebay
Harley Davidson Motorcycle Tropical Bahamas T Shirt Mens XL Blue Vintage,19.99,2025-12-10,New (Other),XL,harley,ebay
3D Emblem Harley Davidson T-Shirt XL Mens Black Survival Of The Fittest Dog 1993,189.42,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Tie Dye T-Shirt Men’s Sz 2XL Single Stitch USA 90s Biker,42.49,2026-04-21,Pre-Owned,2XL,harley,ebay
Harley Davidson Looney Tunes Taz Y2K Vintage Yellow T-shirt Tee XXL,25.19,2026-04-21,Pre-Owned,2XL,harley,ebay
Vintage Harley Davidson T Shirt Y2K 2007 Dragon Orange Size Large,10.0,2026-04-21,Pre-Owned,L,harley,ebay
VTG Harley Davidson Sturgis Black Hills Rally 1991 Single Stitch Tee Shirt XL,59.95,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Shirt Size Medium Black Sleeveless Eagle Dragon Waco TX,17.97,2026-04-21,Pre-Owned,M,harley,ebay
Mens Harley Davidson Vintage Shirt 2XL Biker Shirt Blue,18.0,2026-04-21,Pre-Owned,2XL,harley,ebay
Vintage 1988 Harley-Davidson Beer Mug T-SHIRT SINGLE Stitch 3D Emblem Rare Black,200.0,2026-04-21,Pre-Owned,L,harley,ebay
Vintage 90s Harley Davidson Motorcycles Legends Live Biker T Shirt Size L,45.0,2026-04-21,Pre-Owned,L,harley,ebay
60s - 70s VINTAGE MERT LAWWILL HARLEY DAVIDSON #1 T-SHIRT FLAT TRACK RACING,7.99,2026-04-21,Brand New,XL,harley,ebay
Vintage 1980 3D Emblem Harley Davidson Screaming Eagle Santa Cruz Reprint S-5XL,7.99,2026-04-12,Brand New,XL,harley,ebay
Harley Davidson 90s Vintage T Shirt Reprint Biker Graphic Tee Mens S-5XL,7.99,2026-04-12,Brand New,XL,harley,ebay
Vintage Harley Davidson Shirt Mens 2XL White Long Sleeve Flames Biker Y2K,39.99,2026-04-21,Pre-Owned,2XL,harley,ebay
Vtg Harley Davidson Motorcycles Biker Flames Y2K Long Sleeve Shirt Size XL,49.98,2026-04-21,Pre-Owned,XL,harley,ebay
Vintage harley davidson bald eagle flame long sleeve 3D emblem shirt grail Large,130.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Holubek Single Stitch T Shirt Black Large,100.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Lot of 90s/early 2000s Harley Davidson & Biker T shirts SIZE XL 🔥🔥🔥,60.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vtg Harley Davidson Big Logo T-Shirt Men's L Black 1998 Short Sleeve Faded Rare,26.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintage 1990's Stitch Stitch Harley-Davidson shirt MEDIUM Los Angeles Distressed,23.96,2026-04-20,Pre-Owned,M,harley,ebay
Vintage REPRINT Harley Davidson Blue Flame T-Shirt XL Faded Single Stitch,54.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage REPRINT Harley Davidson Chrome Sweet Chrome Longsleeve Flame T-Shirt XL,59.0,2026-04-19,New (Other),XL,harley,ebay
Vintage Harley-Davidson Motorcycles Shirt Size Small Pink Y2K Logo Riverboat,17.99,2026-04-20,Pre-Owned,S,harley,ebay
Vintage Y2K Harley-Davidson Genuine Legend Double Sided Biker Shirt Youth 12/14,11.04,2026-04-20,Pre-Owned,,harley,ebay
Vintage Harley Davidson Shirt Men’s Medium White Flame Sleeve USA Y2K,33.24,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 1992 Harley Davidson Protect Wildlife Party At Sturgis 3D Emblem Mens XL,127.5,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 90s Harley Davidson Eagle T-Shirt All Over Print Mens XL Black Biker,99.99,2026-04-20,Pre-Owned,XL,harley,ebay
New Harley-Davidson T-Shirt with Vintage Oil Barrel and Motorcycles,24.0,2026-04-20,Brand New,M,harley,ebay
Vintage REPRINT Harley Davidson Blue Flame T-Shirt XL Faded Single Stitch,54.99,2026-04-20,Pre-Owned,XL,harley,ebay
"RARE VTG Harley-Davidson Black T-Shirt Blue Flame Graphic, Tucson, 4XL",325.0,2026-04-20,Pre-Owned,4XL,harley,ebay
Black Vintage 2012 Harley Davidson X Tunes T Shirt Featuring Marvin The Martian,55.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Trademark Harley Davidson T-shirt Tye Dye Classic Mens Medium M,40.0,2026-04-20,Pre-Owned,M,harley,ebay
VTG Harley Davidson Shirt Mens 2X Eagle Biker Double Sided Sun Faded Florida USA,25.0,2026-04-20,Pre-Owned,BIG,harley,ebay
Vintage 80s Harley Davidson Eagle Long Sleeve Waffle Thermal Shirt Sz Small Rare,139.99,2026-04-20,Pre-Owned,S,harley,ebay
Vintage Harley Davidson Fall Foliage Ride T-Shirt L USA Made Camelback Poconos,20.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson T-Shirt 2XL Bike Week Daytona 1997 Single Stitch Faded,19.49,2026-04-20,Pre-Owned,2XL,harley,ebay
NWT VTG Harley-Davidson T-Shirt Mens XL Black 100 Years Appleton TN Y2K,31.46,2026-04-20,Brand New,XL,harley,ebay
Vintage 80’s New NOS Harley Davidson Born In The USA Eagle Thermal Waffle XL GEM,50.0,2026-04-20,New (Other),XL,harley,ebay
***Vtg Harley Davidson Shirt 1990 3D Emblem Size Lg. USA Single Stitch T-Shirt,69.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Willie G Skull Button Up Shirt Mens 2XL Gray Mechanic,40.51,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage REPRINT Harley Davidson Spider Web Longsleeve Tee Shirt Lg Travis Scott,59.0,2026-04-20,New (Other),L,harley,ebay
Vintage Harley-Davidson Shirt Mens 2XL Black Long Sleeve Gails Kansas City MO,29.99,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage Y2K Harley-Davidson American Flag Bald Eagle T Shirt Mens Sz XL Black,25.46,2026-04-20,Pre-Owned,XL,harley,ebay
"1990 Harley Davidson America Starts Here - York, PA - Shirt XL - Open House VTG",25.0,2026-04-20,Pre-Owned,XL,harley,ebay
VTG 1991 Harley-Davidson Holoubek Ride Like The Wind T-Shirt Men’s L Black USA,67.96,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson T-Shirt Mens Large Black Duluth Minnesota Lift Bridge,18.97,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley-Davidson Shirt Mens XL Black Pocket Tee Made USA Abernathys 00s,29.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson The Last Great American Shirt XL 1988 Capitol Michigan,25.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 90s Harley Davidson Motorcycles Faded Biker Graphic Shirt Size XL,39.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 2000s Harley Davidson Aruba Warrior T Shirt XL Bike XL,15.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 1989 Harley Davidson Shirt XL York Museum Shirt R.K. Stratman USA Made,25.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Bold Harley Davidson NJ Single Stitch Holoubek T-Shirt XL Vtg Biker 90s,24.7,2026-04-20,Pre-Owned,XL,harley,ebay
Harley Davidson 2001 Hungary Foreign Long Sleeve Vintage Flames White Biker Y2K,54.99,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 1989 12th Annual Redwood Run Harley Davidson T-Shirt Size L California,39.0,2026-04-20,Pre-Owned,L,harley,ebay
VINTAGE 1991 HARLEY DAVIDSON T-SHIRT SYMBOL OF AMERICAN FREEDOM ORLANDO FLA M,131.5,2026-04-20,Pre-Owned,M,harley,ebay
Vintage Harley-Davidson Shirt Men's XL Chicago Black Long Sleeve,24.0,2026-04-20,New (Other),XL,harley,ebay
Vintage Harley Davidson Hollywood California Eagle 3D Emblem Shirt Mens XL 1990,139.3,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 2000s Harley Davidson Peoria Walters Bros Short Sleeve Shirt XL,15.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Wings Over America 1990’s XL Single Stitch T-Shirt,39.99,2026-04-20,Pre-Owned,XL,harley,ebay
Sturgis 1998 XL R&P 58th Motorcycle Rally Rushmore Single Stitch VTG Made in USA,9.98,2026-04-20,Pre-Owned,XL,harley,ebay
Harley-Davidson 1990 Vintage 3D Emblem T-Shirt South Is Where It's at Size XL,280.0,2026-04-20,Pre-Owned,XL,harley,ebay
"Men's Vintage 90s Dudley Perkins Co. Harley Davidson, White/Long Sleeve/Size L",29.99,2026-04-20,Pre-Owned,L,harley,ebay
VTG 90s Harley Davidson 3D Emblem Wolf Pack T Shirt Adult XL Distressed,52.46,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Atlanta Georgia Shirt Mens Large Beige Graphic Tee 2004,23.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Y2K Harley Davidson Redding California Shasta Dam T-Shirt Size XL Biker,22.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Shirt Men Large 90s 1999 USA Motorcycle Biker Grey,13.81,2026-04-20,Pre-Owned,L,harley,ebay
Harley Davidson Vintage T Shirt Albuquerque Size 3x Made In USA,15.0,2026-04-20,Pre-Owned,3XL,harley,ebay
Vintage 90s I’m Shy But I’ve Got A Big Dick Harley Davidson Lrg Tall T Shirt,99.99,2026-04-20,Pre-Owned,,harley,ebay
Vintage Motorcycle Men’s Tank Top All HD Drags Size 2XL,29.75,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage Harley Davidson Shirt Mens XLarge Black Motorcycle Graphic Pocket Tee,24.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 1995 Harley Davidson Pocket T Shirt Steel Chattanooga Tennessee 1995 XL,19.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson Shirt Mens Large Black Bangkok Thailand Graphic Tee,39.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintage 1996 Harley Davidson Outpost Pueblo Colorado Mens Small Stratman Eagle,22.99,2026-04-20,Pre-Owned,S,harley,ebay
Harley-Davidson Y2K Vintage Motorcycle Long Sleeve T-Shirt,70.0,2026-04-20,Pre-Owned,XL,harley,ebay
VINTAGE Harley Davidson Shirt Mens Medium Black Skull Biker Arizona Faded Y2K,29.7,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 1998 Harley Davidson Pocket T-Shirt Men's Medium Lisle Illinois,17.99,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 2002 Y2K Harley Davidson Cut Off T-shirt Men's 2XL Blue Sleeveless Biker,22.5,2026-04-20,Pre-Owned,2XL,harley,ebay
VIntage 1999 Harley Davidson Dudley Perkins San Fran T-Shirt Long Sleeve XL,33.26,2026-04-20,Pre-Owned,XL,harley,ebay
J8 VTG Harley Davidson Motorcycles USA 1 - T Shirt 4XL Black Gray Cotton India,44.0,2026-04-20,Pre-Owned,,harley,ebay
Vintage 90s Harley Davidson Eagle Graphic About to Develop Attitude Shirt Sz XL,70.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Y2K Harley Davidson Flaming Eagle Flag Las Vegas Brown T Shirt Size XL,27.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Men’s 2XL Kansas City Missouri Worth T Shirt,29.0,2026-04-17,Pre-Owned,2XL,harley,ebay
VTG Y2K Harley-Davidson Jester Clown T-Shirt Mens L Black Distressed Grunge,27.07,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson The Beginning Of A Tradition Burlington NJ 1986 Medium,44.99,2026-04-20,Pre-Owned,M,harley,ebay
Vintage 90s Harley Davidson Tazmanian Devil T-Shirt Mens Large Looney Tunes Taz,30.0,2026-04-20,Pre-Owned,L,harley,ebay
Harley Davidson Wolf AOP Vintage Reprint T-shirt Size Large Single Stitch,59.0,2026-04-14,New (Other),L,harley,ebay
Harley Davidson Mix Shirt Bundle Size Med & Lrg Lot Of 8 Graphic VTG Y2K Modern,70.0,2026-04-20,Pre-Owned,M,harley,ebay
Vintage Harley Davidson Italy Chapter Graphic T-Shirt Men’s Size XL Rare HTF,18.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Y2K Harley Davidson Motorcycles Black Biker Tee Shirt Size 2XL,24.99,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage 1987 Harley Davidson 3D Emblem Party Animal Hog Tee Size S,100.0,2026-04-20,Pre-Owned,S,harley,ebay
Vintage 80s Harley Davidson SMOKE SIGNALS Whiskey T-Shirt SINGLE STITCH SIZE L,175.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Harley Davidson Shirt Men's XL Black Eagle Graphic T-Shirt 90s,24.88,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Motorcycle Biker T Shirt Gray El Paso Texas Barnett XL,21.0,2026-04-20,Pre-Owned,XL,harley,ebay
VTG Harley Davidson Men's Custom Gas Tank Graphic Biker T-Shirt Made in USA 2XL,11.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley Davidson Shirt Men’s Small Green 2000s Motorcycles USA Biker Tee,19.99,2026-04-20,Pre-Owned,S,harley,ebay
VTG- Harley-Davidson Pocket T-Shirt Short Sleeve 2004 Greenville SC Men sz XL,20.0,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage Harley-Davidson Shirt Mens 2XL Black Eagle Orlando Dick Farmers USA 90s,39.99,2026-04-20,Pre-Owned,2XL,harley,ebay
Vintage 2000s Las Vegas Wolf Eagle Harley Davidson Biker Tee XXL,12.5,2026-04-20,Pre-Owned,2XL,harley,ebay
Lot Of 6 VTG 90's 00’s DISTRESSED T-Shirts Men's Thrashed USA Small Medium FLAWS,23.99,2026-04-20,"Very Worn, Flaws Throughout, See Pics, Stains and Rips",,harley,ebay
Vintage 2006 Harley Davidson Graphic Print Myrtle Beach Shirt Men Sz Med,9.0,2026-04-20,Pre-Owned,M,harley,ebay
4 Piece Vintage T Shirt Bundle,60.0,2026-04-20,Pre-Owned,XL,harley,ebay
New VTG Smaltz's Chester County Harley-Davidson Shirt X Large Black Y2K XL,24.0,2026-04-20,New (Other),XL,harley,ebay
Vintage Harley-Davidson Shirt Mens XL Black Pretoria South Africa Wings USA,22.0,2026-04-20,New (Other),XL,harley,ebay
Vtg Pre-owned Harley T-shirt Red Muskegon MI 3XL 2013,20.0,2026-04-20,Pre-Owned,,harley,ebay
Vintage 90s Harley Davidson Biker Tee Size Large,35.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage REPRINT Harley Davidson Chrome Sweet Chrome Long sleeve Flame T Shirt XL,59.0,2026-04-20,New (Other),XL,harley,ebay
Vintage 2001 Kerusso Jesus Biker Tee M Guardian Angels Psalm 91:11 Anvil,25.35,2026-04-20,Pre-Owned,M,harley,ebay
Vtg 90s 1999 Harley Davidson Midnight Rider Wolf Purple Flame T-Shirt Size L,49.99,2026-04-20,Pre-Owned,L,harley,ebay
Vintag Harley Davidson 1992 3-D emblem Wolf graphic USA men’s large,106.25,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Y2k Harley Davidson Paris Bastille France Graphic Tee XL Double Sided,24.99,2026-04-20,Pre-Owned,XL,harley,ebay
Vintage 80s Harley Davidson Regina Sask Canada Eagle and Canadian Flag Shirt,39.99,2026-04-20,Pre-Owned,XL,harley,ebay
vintage sioux city native americans x cowboys zip it tee size large,30.0,2026-04-20,Pre-Owned,L,harley,ebay
Vintage Lot Of 14 Vintage T-shirt,250.0,2026-04-20,Pre-Owned,XL,harley,ebay
