is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,0,0,1,0,1,0,0,0,1,0,0,1,3,189.97
0,0,0,0,0,1,0,0,1,0,1,1,1,3,25.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,29.95
0,0,0,0,1,1,0,0,1,0,0,0,1,3,59.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,30.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,25.0
0,0,0,0,0,1,0,0,0,1,1,1,0,3,20.0
0,0,0,0,0,1,1,0,0,0,1,0,0,3,28.75
0,1,0,0,1,1,0,0,1,0,0,0,1,3,12.87
0,0,0,0,0,1,0,0,1,0,0,0,0,3,40.0
0,0,0,0,0,1,0,0,1,0,1,0,0,3,28.95
0,0,0,0,0,1,0,0,0,1,0,0,1,3,18.69
0,0,0,0,0,1,0,0,0,1,0,0,0,5,37.5
0,0,0,0,0,1,0,0,0,1,0,0,0,5,37.5
0,0,1,0,0,1,0,0,0,1,0,0,1,3,17.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,31.12
0,1,0,0,0,1,0,0,0,1,0,0,0,3,40.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,31.24
0,0,0,0,0,1,0,0,1,0,0,0,1,3,90.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,17.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,34.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,34.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,35.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,30.0
0,0,0,0,1,1,0,0,0,1,0,0,1,3,85.99
0,1,0,0,0,1,0,0,1,0,0,0,0,3,69.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,19.99
0,0,0,1,0,1,1,0,0,0,0,0,0,3,200.0
0,0,0,0,1,1,0,0,0,1,0,0,0,3,19.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,32.0
0,0,0,0,0,1,0,0,0,1,0,0,0,4,19.99
0,0,0,1,0,0,0,0,0,1,0,0,1,3,189.42
0,1,0,0,1,1,0,0,0,1,0,0,0,3,42.49
0,0,1,0,0,1,0,0,0,1,0,0,0,3,25.19
0,0,1,0,0,1,0,0,1,0,0,0,1,3,10.0
0,0,0,0,1,1,0,0,0,1,1,1,1,3,59.95
0,0,0,0,0,1,0,1,0,0,0,0,0,3,17.97
0,0,0,0,0,1,0,0,0,1,0,0,0,3,18.0
0,0,0,1,1,1,0,0,1,0,0,0,1,3,200.0
0,1,0,0,0,1,0,0,1,0,0,0,0,3,45.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,39.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,49.98
0,0,0,1,0,1,0,0,1,0,0,0,0,3,130.0
0,0,0,0,1,1,0,0,1,0,0,0,0,3,100.0
0,0,0,0,0,1,0,0,1,0,0,0,1,3,26.99
0,0,0,0,0,1,0,1,0,0,0,0,1,3,23.96
0,0,1,0,0,1,1,0,0,0,0,0,0,3,17.99
0,0,1,0,0,1,0,0,0,0,0,0,0,3,11.04
0,0,1,0,0,1,0,1,0,0,0,0,0,3,33.24
0,0,0,1,0,1,0,0,0,1,1,0,1,3,127.5
0,1,0,0,0,1,0,0,0,1,0,0,0,3,99.99
0,0,0,0,0,1,0,1,0,0,0,0,0,5,24.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,55.0
0,0,0,0,0,1,0,1,0,0,0,1,0,3,40.0
0,0,0,0,0,1,0,0,0,0,1,0,0,3,25.0
1,0,0,0,0,1,1,0,0,0,0,0,0,3,139.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,20.0
0,0,0,0,1,1,0,0,0,1,1,0,1,3,19.49
0,0,1,0,0,1,0,0,0,1,0,0,0,5,31.46
0,0,0,0,0,1,0,0,0,1,0,0,0,4,50.0
0,0,0,1,1,1,0,0,1,0,0,0,1,3,69.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,40.51
0,0,0,0,0,1,0,0,0,1,0,0,0,3,29.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,25.46
0,0,0,0,0,1,0,0,0,1,0,0,1,3,25.0
