title,sold_price,date_sold
"vintage harley davidson shirt Men’s XL 90s Black Biker Motorcycle Eagle Faded",28.00,2026-04-05
"VTG Harley Davidson Untamed Flame Tiger Size XL Longsleeve",58.99,2026-04-05
"VTG Harley Davidson Shirt 2XL White Orange Skull Mesa Arizona 90s",15.46,2026-04-05
"Vintage HARLEY DAVIDSON Eagle Flame 90s XL Pomona California",45.00,2026-04-04
"Harley Davidson Shirt Men XL Vintage Sixties HDMC Alaska",42.49,2026-04-04
"Vintage Y2K Harley Davidson Pocket T Shirt XL Indiana 2004",14.50,2026-04-04
"Vintage REPRINT Harley Davidson Blue Flames Long Sleeve XL",45.00,2026-04-04
"VTG 1997 Harley Davidson House Milwaukee T Shirt Large",29.99,2025-09-07
"Vintage 80s Harley Biker Shirt Sturgis Rally 1985 Large",113.75,2026-04-04
"Vintage Harley Davidson Flame Shirt Medium Orange Tie Dye",40.00,2026-04-04
"Vintage 1987 Harley Davidson Racing Scott Parker XL",74.69,2026-04-04
"Vintage Harley Davidson Steel City Biker Motorcycle 2005 Large",8.00,2026-04-04
"Vintage 1987 Harley Davidson Thunder Lightning Small",89.98,2026-04-04
"Harley Davidson Y2K Grey Skull Shirt XL Miami 2009",35.00,2026-04-04
"Vintage 80s Harley Beer Daytona 1984 Medium",94.25,2026-04-04
"Vintage 80s Harley 3D Emblem Flagstaff AZ Medium",130.00,2026-04-04
"Harley Davidson Spider Web Long Sleeve 2004 Large",699.00,2026-04-04
"Harley Davidson Moscow 1990s Vintage Small",40.00,2026-04-04
"Vintage Harley Davidson Sleeveless Tampa Florida XL",30.00,2026-04-04
"Vintage Harley Davidson Cut N Shoot Texas 90s Large",24.98,2026-04-04
"Vintage Harley Davidson Running Free Guito Ecuador T Shirt Size S",15.00,2026-04-08
"VTG Harley Davidson Shirt Mens 2X Gray Columbia Tennessee Motorcycle Graphic 90s",19.95,2026-04-08
"Vtg 90s Harley Davidson T Shirt Ringer Raglan XL Gray Navy Blue Naples",25.00,2026-04-08
"Vtg Harley Davidson Screaming Eagle Flames Radcliff KY Tank Top L Single Stitch",18.00,2026-04-08
"Vintage Harley Davidson Shirt Chopped Mens XL Extra Large Black Eagle 90s",42.15,2026-04-08
"Harley Davidson Vintage 1994 Tee Shirt",355.00,2026-04-08
"Vintage Harley Davidson Free And Proud Eagle T Shirt Mens Large Faded Black",29.99,2026-04-08
"Vintage Grunge Y2K Harley Davidson Long Sleeve Tee With Sleeve Hits",15.00,2026-04-08
"Vintage Harley Davidson Blue Flame Long Sleeve Motor Rare XL T Shirt REPRINT",69.00,2026-04-08
"Vintage Harley Davidson Hampton Roads Newport News VA Twin Cam 88 T Shirt L",19.95,2026-04-08
"Vintage 3D Emblem Harley Davidson American Legend Bald Eagle T Shirt XL 88",200.00,2026-04-08
"Vintage 1995 Sleeveless Harley Davidson Shirt Mens Large Light Blue Teal",29.99,2026-04-08
"Vintage Harley Davidson Y2K Stone Wash Motorcycle 2XL Indian Feather",26.99,2026-04-08
"Vintage Harley Davidson Hanes Beefy Palm Beach Single Stitch Graphic Tee L",20.00,2026-04-08
"Vintage 90s Harley Davidson 3D Emblem Wolf Biker Black Shirt Large",120.00,2026-04-08
"Harley Davidson Big Shield Milwaukee Biker T Shirt Single Stitch Vintage 90s",20.37,2026-04-08
"Vintage Harley Davidson Put Something Exciting Between Your Legs Mens XL",199.99,2026-04-08
"Vintage Harley Davidson Shirt Mens M Black Faded Distressed American Legend Ride",24.75,2026-04-08
"Black Vintage Harley Davidson 105th Anniversary Eagle Tee Black Made USA Size L",20.00,2026-04-08
"Vintage 2003 Harley Davidson 100th Anniversary Hawaii Black Tank Top Large USA",24.83,2026-04-08
"Vintage Harley Davidson Shirt Size Large Tagged XL Mans Best Friend",99.99,2026-04-08
"Vintage Made in USA Harley Davidson Sacramento California T Shirt Size L",29.99,2026-04-08
"Vintage Skull 2005 Harley Davidson Y2K Made in the USA Size Large",34.99,2026-04-08
"Vintage Harley Davidson Pocket T Shirt",15.00,2026-04-08
"Vintage Harley Davidson Mens White Long Sleeve Flames Grunge Biker T Shirt Sz M",29.99,2026-04-08
"Vintage 1996 Harley Davidson AOP Flames Engine V2 T Shirt Size L USA",199.99,2026-04-08
"Vintage Harley Davidson Nassau County New York Motorcycle T Shirt Size 5XL",24.95,2026-04-08
"Vintage Harley Davidson T Shirt Small Gray Landers Toad Suck Frog Conway AR",24.99,2026-04-08
"Vintage 1987 Harley Davidson Elvis Presley American Legend T Shirt",25.95,2026-04-08
"Rare Vintage 1991 3D Emblem Harley Davidson Lighting Hand Of God T Shirt Mens XL",139.99,2026-04-08
"Vintage Y2K Harley Davidson Sleeveless Shirt Button Up 2XL",29.99,2026-04-08
"Vintage Harley Davidson Motorcycle Las Vegas Nevada Black Shirt Size L With Tags",39.99,2026-04-08
"Vintage 1995 Harley Davidson Pocket T Shirt Deadstock Single Stitch",40.00,2026-04-08
"Vintage Rare 1993 Harley Davidson Custom Cebazat France World Class T Shirt",19.99,2026-04-08
"Harley Davidson T Shirt 2XL Blue Made in USA Vintage Graphic Biker Tee",15.12,2026-04-08
"Vintage Harley Davidson Pocket T Shirt Mens 2XL Black New Orleans Motorcycle",26.99,2026-04-07
"Vintage 1995 Jeff Gordon Dale Earnhardt Tee M The Kid and The Champ Rare",37.95,2026-04-07
"Vintage West Coast Choppers BOOT Chrome Hit Long Sleeve Tee Shirt Jesse Who XL",59.00,2026-03-06
"Vintage 90s 1993 Harley Davidson Holoubek Shirt Motorcycle Fat Is Where Its At Large",50.00,2026-04-07
"Harley Davidson Shirt Mens XL Screamin Eagle Flame Fire Tee Made in USA Y2K",49.88,2026-04-07
"Vintage Harley Davidson XXXL Single Stitch Made In USA T Shirt",20.00,2026-04-07
"Vintage Harley Davidson Angeles City Philippines T Shirt Mens XL",27.90,2026-04-07
"VTG Sturgis Harley Davidson Motorcycle Shirt XL 105th Anniversary",45.00,2026-04-07
"Vintage 1991 Harley Davidson So Many Highways Double Sided Size XL T Shirt",89.99,2026-04-07
"Vintage Y2K Harley Davidson Tribal Flames Baton Rouge T Shirt Large",24.96,2026-04-07
"Vintage Harley Davidson 90s Black Long Sleeve Henley T Shirt Large",52.75,2026-04-07
"Vintage 1980s Harley Davidson Chasin The Wind Rare Biker Tee Medium",95.00,2026-04-07
"Vintage Harley Davidson Black Voodoo New Orleans French Quarter T Shirt XL",24.00,2026-04-07
"Vintage Harley Davidson Black Oregon Motorcycle T Shirt Large",25.00,2026-04-07
"Vintage 90s Harley Davidson Sturgis 1995 Single Stitch T Shirt XL",29.99,2026-04-07
"Vintage Harley Davidson Black 90s Faded Shield 1995 Motorcycle Biker XL",50.96,2026-04-07
"Vintage 2000s Y2K Faded Lightning Harley Davidson Shirt XL",29.95,2026-04-06
"Vintage Harley Davidson Tie Dye Tank Top XL Made in USA",22.00,2026-04-06
"Vintage Harley Davidson Chrome Sweet Chrome Long Sleeve Arizona XL Shirt REPRINT",69.00,2026-04-06
"Vintage 90s Harley Davidson Thunder Eagle Graphic T Shirt XL Made in USA",34.00,2026-04-06
"Vintage 1990s Harley Davidson Long Sleeve Flame Print Tee Large",150.00,2026-04-06
"Vintage Harley Davidson Eagle Dragon Graphic Holoubek 1986 Medium",65.00,2026-04-06
"Vintage Harley Davidson 1999 Love Ride Glendale CA T Shirt Large",65.00,2026-04-06
"Vintage 1990 Harley Davidson Older Is Better Bridgeport CT XXL",35.00,2026-04-06
"Vintage Harley Davidson Orange Skull Cutoff Muscle Tee XL Y2K",11.99,2026-04-06
"Vintage 3D Emblem Harley Davidson T Shirt Small",115.00,2026-04-06
"Harley Davidson Flames Wings Shirt Mens XL Black USA Y2K",28.89,2026-04-06
"Vintage 90s Harley Davidson Eagle Black Long Sleeve Thermal T Shirt Large",68.00,2026-04-06
